clean_answer,varnum,clean_answer_binned,abbr,Group,clean_group,ES,ESdescription,Title,FirstAuthor,SourcePublication,PublicationYear
Land use change,1,Land use and land cover change,Driver,Human,Human,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",The impact of projected increases in urbanization on ecosystem services,Eigenbrod,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2011
Population growth,2,Population growth and density,Driver,Human,Human,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",The impact of projected increases in urbanization on ecosystem services,Eigenbrod,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2011
Service Provider (Q17),3,Service provider identity,Driver,Biotic,Biotic,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",The impact of projected increases in urbanization on ecosystem services,Eigenbrod,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2011
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'pressure' index incorporating precipitation/temp/floods AND human drivers that are marked alongside this 'other' environmental driver (see Q12),2,Index,OtherDriver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),3,Index,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'pressure' index incorporating precipitation/temp/floods AND human drivers that are marked alongside this 'other' environmental driver (see Q12),2,Index,OtherDriver,Environmental,Environmental,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),3,Index,OtherDriver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'pressure' index incorporating precipitation/temp/floods AND human drivers that are marked alongside this 'other' environmental driver (see Q12),2,Index,OtherDriver,Environmental,Environmental,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),3,Index,OtherDriver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Energy,"Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'pressure' index incorporating precipitation/temp/floods AND human drivers that are marked alongside this 'other' environmental driver (see Q12),2,Index,OtherDriver,Environmental,Environmental,Energy,"Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),3,Index,OtherDriver,Human,Human,Energy,"Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Food,Food and feed,Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'pressure' index incorporating precipitation/temp/floods AND human drivers that are marked alongside this 'other' environmental driver (see Q12),2,Index,OtherDriver,Environmental,Environmental,Food,Food and feed,Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),3,Index,OtherDriver,Human,Human,Food,Food and feed,Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'pressure' index incorporating precipitation/temp/floods AND human drivers that are marked alongside this 'other' environmental driver (see Q12),2,Index,OtherDriver,Environmental,Environmental,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),3,Index,OtherDriver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Land use change,1,Land use and land cover change,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Management Practices,2,Management/restoration,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Exploitation (hunting; fishing),3,Exploitation/harvest,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'pressure' index incorporating precipitation/temp/floods AND human drivers that are marked alongside this 'other' environmental driver (see Q12),4,Index,OtherDriver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'pressure' index incorporating precipitation/temp/floods AND human drivers that are marked alongside this 'other' environmental driver (see Q12),2,Index,OtherDriver,Environmental,Environmental,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),3,Index,OtherDriver,Human,Human,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'pressure' index incorporating precipitation/temp/floods AND human drivers that are marked alongside this 'other' environmental driver (see Q12),2,Index,OtherDriver,Environmental,Environmental,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),3,Index,OtherDriver,Human,Human,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'pressure' index incorporating precipitation/temp/floods AND human drivers that are marked alongside this 'other' environmental driver (see Q12),2,Index,OtherDriver,Environmental,Environmental,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),3,Index,OtherDriver,Human,Human,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018
Land use change,1,Land use and land cover change,Driver,Human,Human,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
Management Practices,2,Management/restoration,Driver,Human,Human,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
Service Provider (Q17),3,Service provider identity,Driver,Biotic,Biotic,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
cloud cover,4,Climate,OtherDriver,Environmental,Environmental,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
wind,5,Climate,OtherDriver,Environmental,Environmental,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
Rainfall,6,Climate,OtherDriver,Environmental,Environmental,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
Temperature,7,Climate,OtherDriver,Environmental,Environmental,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
humidity,8,Climate,OtherDriver,Environmental,Environmental,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
woodland and scrub within 1km,9,Land cover,OtherDriver,Environmental,Environmental,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
experimental polytunnel manipulation type,10,Management/restoration,OtherDriver,Human,Human,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
management type,11,Management/restoration,OtherDriver,Human,Human,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
urban area within 1km,12,Proximity to development,OtherDriver,Human,Human,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
roads within 1 km,13,Proximity to development,OtherDriver,Human,Human,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
honeybees near farm,14,Pollination,OtherDriver,Biotic,Biotic,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
number of bumblebee colonies used per year,15,Pollination,OtherDriver,Biotic,Biotic,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
wild flower strips planted,16,Biotic characteristics of the plot,OtherDriver,Biotic,Biotic,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
field margins left unmowed,17,Management/restoration,OtherDriver,Biotic,Human,Food,Food and feed,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
Land use change,1,Land use and land cover change,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
Management Practices,2,Management/restoration,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
Service Provider (Q17),3,Service provider identity,Driver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
cloud cover,4,Climate,OtherDriver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
wind,5,Climate,OtherDriver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
Rainfall,6,Climate,OtherDriver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
Temperature,7,Climate,OtherDriver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
humidity,8,Climate,OtherDriver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
woodland and scrub within 1km,9,Land cover,OtherDriver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
experimental polytunnel manipulation type,10,Management/restoration,OtherDriver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
management type,11,Management/restoration,OtherDriver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
urban area within 1km,12,Proximity to development,OtherDriver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
roads within 1 km,13,Proximity to development,OtherDriver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
honeybees near farm,14,Pollination,OtherDriver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
number of bumblebee colonies used per year,15,Pollination,OtherDriver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
wild flower strips planted,16,Biotic characteristics of the plot,OtherDriver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
field margins left unmowed,17,Management/restoration,OtherDriver,Biotic,Human,Pollination,Pollination and dispersal of seeds or other propagules,Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017
Management Practices,1,Management/restoration,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]","Seeds in farmland food-webs: Resource importance, distribution and the impacts of farm management",Evans,BIOLOGICAL CONSERVATION,2011
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]","Seeds in farmland food-webs: Resource importance, distribution and the impacts of farm management",Evans,BIOLOGICAL CONSERVATION,2011
Management Practices,1,Management/restoration,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,"Seeds in farmland food-webs: Resource importance, distribution and the impacts of farm management",Evans,BIOLOGICAL CONSERVATION,2011
Management Practices,1,Management/restoration,Driver,Human,Human,Food,Food and feed,Functional diversity in cover crop polycultures increases multifunctionality of an agricultural system,Finney,JOURNAL OF APPLIED ECOLOGY,2017
Management Practices,1,Management/restoration,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Functional diversity in cover crop polycultures increases multifunctionality of an agricultural system,Finney,JOURNAL OF APPLIED ECOLOGY,2017
Management Practices,1,Management/restoration,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Functional diversity in cover crop polycultures increases multifunctionality of an agricultural system,Finney,JOURNAL OF APPLIED ECOLOGY,2017
Management Practices,1,Management/restoration,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Evidence of sustainable intensification among British farms,Firbank,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013
Management Practices,1,Management/restoration,Driver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Evidence of sustainable intensification among British farms,Firbank,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013
Management Practices,1,Management/restoration,Driver,Human,Human,Food,Food and feed,Evidence of sustainable intensification among British farms,Firbank,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013
Management Practices,1,Management/restoration,Driver,Human,Human,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Evidence of sustainable intensification among British farms,Firbank,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013
Management Practices,1,Management/restoration,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system,Ford,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2012
Management Practices,1,Management/restoration,Driver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system,Ford,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2012
Management Practices,1,Management/restoration,Driver,Human,Human,Energy,"Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]",Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system,Ford,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2012
Management Practices,1,Management/restoration,Driver,Human,Human,Food,Food and feed,Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system,Ford,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2012
Management Practices,1,Management/restoration,Driver,Human,Human,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system,Ford,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2012
Management Practices,1,Management/restoration,Driver,Human,Human,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system,Ford,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2012
Management Practices,1,Management/restoration,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system,Ford,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2012
Management Practices,1,Management/restoration,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system,Ford,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2012
Management Practices,1,Management/restoration,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system,Ford,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2012
Land use change,1,Land use and land cover change,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Land use affects dung beetle communities and their ecosystem service in forests and grasslands,Frank,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Land use affects dung beetle communities and their ecosystem service in forests and grasslands,Frank,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
soil organic carbon,1,Soil physiochemical characteristics,OtherDriver,Environmental,Environmental,Food,Food and feed,Additive and interactive effects of pollination and biological pest control on crop yield,Gagic,JOURNAL OF APPLIED ECOLOGY,2019
insecticide,2,Insecticides/fungicides/pesticides/herbicides,OtherDriver,Human,Human,Food,Food and feed,Additive and interactive effects of pollination and biological pest control on crop yield,Gagic,JOURNAL OF APPLIED ECOLOGY,2019
fertilizer,3,Fertilization,OtherDriver,Human,Human,Food,Food and feed,Additive and interactive effects of pollination and biological pest control on crop yield,Gagic,JOURNAL OF APPLIED ECOLOGY,2019
aphid abundance,4,Service provider abundance,OtherDriver,Biotic,Biotic,Food,Food and feed,Additive and interactive effects of pollination and biological pest control on crop yield,Gagic,JOURNAL OF APPLIED ECOLOGY,2019
soil organic carbon,1,Soil physiochemical characteristics,OtherDriver,Environmental,Environmental,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Additive and interactive effects of pollination and biological pest control on crop yield,Gagic,JOURNAL OF APPLIED ECOLOGY,2019
insecticide,2,Insecticides/fungicides/pesticides/herbicides,OtherDriver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Additive and interactive effects of pollination and biological pest control on crop yield,Gagic,JOURNAL OF APPLIED ECOLOGY,2019
fertilizer,3,Fertilization,OtherDriver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Additive and interactive effects of pollination and biological pest control on crop yield,Gagic,JOURNAL OF APPLIED ECOLOGY,2019
aphid abundance,4,Service provider abundance,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Additive and interactive effects of pollination and biological pest control on crop yield,Gagic,JOURNAL OF APPLIED ECOLOGY,2019
Management Practices,1,Management/restoration,Driver,Human,Human,Food,Food and feed,Combined effects of agrochemicals and ecosystem services on crop yield across Europe,Gagic,ECOLOGY LETTERS,2017
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,Food,Food and feed,Combined effects of agrochemicals and ecosystem services on crop yield across Europe,Gagic,ECOLOGY LETTERS,2017
Other=soil organic carbon,3,Soil physiochemical characteristics,OtherDriver,Environmental,Environmental,Food,Food and feed,Combined effects of agrochemicals and ecosystem services on crop yield across Europe,Gagic,ECOLOGY LETTERS,2017
Land use change,1,Land use and land cover change,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Combined effects of agrochemicals and ecosystem services on crop yield across Europe,Gagic,ECOLOGY LETTERS,2017
Management Practices,2,Management/restoration,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Combined effects of agrochemicals and ecosystem services on crop yield across Europe,Gagic,ECOLOGY LETTERS,2017
Other=soil organic carbon,3,Soil physiochemical characteristics,OtherDriver,Environmental,Environmental,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Combined effects of agrochemicals and ecosystem services on crop yield across Europe,Gagic,ECOLOGY LETTERS,2017
Other= biocontrol index,4,Index,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Combined effects of agrochemicals and ecosystem services on crop yield across Europe,Gagic,ECOLOGY LETTERS,2017
Temperature,1,Climate,OtherDriver,Environmental,Environmental,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",When things don't add up: quantifying impacts of multiple stressors from individual metabolism to ecosystem processing,Galic,ECOLOGY LETTERS,2018
Feeding,2,"Service provider reproduction, growth, and population maintenance",OtherDriver,Biotic,Biotic,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",When things don't add up: quantifying impacts of multiple stressors from individual metabolism to ecosystem processing,Galic,ECOLOGY LETTERS,2018
Reproduction,3,"Service provider reproduction, growth, and population maintenance",OtherDriver,Biotic,Biotic,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",When things don't add up: quantifying impacts of multiple stressors from individual metabolism to ecosystem processing,Galic,ECOLOGY LETTERS,2018
Growth,4,"Service provider reproduction, growth, and population maintenance",OtherDriver,Biotic,Biotic,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",When things don't add up: quantifying impacts of multiple stressors from individual metabolism to ecosystem processing,Galic,ECOLOGY LETTERS,2018
